2018-11-15 12:27:26 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:27:26 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:27:26 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:27:26 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:27:27 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:27:27 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:32:25 ERROR MunicipalityImpl:34 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:32:25 ERROR MunicipalityImpl:34 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:32:25 ERROR MunicipalityImpl:34 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:32:25 ERROR MunicipalityImpl:34 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:32:26 ERROR MunicipalityImpl:34 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 12:32:26 ERROR MunicipalityImpl:34 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 15:56:22 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 15:56:22 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 15:56:22 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 15:56:22 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 15:56:22 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-15 15:56:22 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:12 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:12 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:12 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:12 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:12 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:12 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:31 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:31 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:31 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:31 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:32 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-16 14:51:32 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-17 10:33:29 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-17 10:33:29 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-17 10:33:29 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-17 10:33:29 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-17 10:33:29 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2018-11-17 10:33:29 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2019-01-14 20:42:44 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2019-01-14 20:42:44 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2019-01-14 20:42:44 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2019-01-14 20:42:44 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2019-01-14 20:42:44 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
2019-01-14 20:42:44 ERROR MunicipalityImpl:33 - Invalid parameters entered(name, surname, date of birth, yearly income)
